"nobs","Mmod","Smod","kernel","criterion","mean_ISE","sd_ISE","median_ISE","IQR_ISE","mean_time_min"
100,2,2,"Wishart","lcv",28284.1135954111,23343.2770193248,22748.7288641117,12900.6255130826,1.43539233653961
200,2,2,"Wishart","lcv",21671.697363865,17435.7844555017,18234.4674863345,8881.23451954297,3.53595032772282
300,2,2,"Wishart","lcv",18289.7295720691,12653.4814801708,15331.5848093455,7456.37956229545,5.99283167572382
100,3,2,"Wishart","lcv",21402.3857811248,16617.7041889104,17569.0967062316,9296.02149131973,1.48589697942371
200,3,2,"Wishart","lcv",17736.4753639907,11255.1964252149,14806.1740712133,7505.33275791223,3.54189279661902
300,3,2,"Wishart","lcv",15047.4565932862,9246.10294267285,12826.2108052526,5835.464291662,6.02253325745308
100,1,3,"Wishart","lcv",10498.2323946401,8107.48731997681,8510.67074350195,6304.35338298939,0.698793833865784
200,1,3,"Wishart","lcv",8495.49233853677,5527.22709159167,7197.29041527214,4690.05568909234,1.71963713234679
300,1,3,"Wishart","lcv",7415.80972287466,5841.81168387288,6500.1850277312,3490.14388956355,3.02515535459388
100,2,3,"Wishart","lcv",243204.942369861,148005.447542544,205984.889795062,117523.714288552,1.51195144624993
200,2,3,"Wishart","lcv",197950.130112478,112396.769463713,171573.566354321,91843.3473650533,3.64384556974983
300,2,3,"Wishart","lcv",174307.561336386,106295.458999562,149822.354410168,75966.9297946221,6.19235651837662
100,3,3,"Wishart","lcv",173324.335254519,100307.529401931,151063.189249146,91596.9077960103,1.28071928567563
200,3,3,"Wishart","lcv",140895.228090168,86511.5241779538,121445.105307448,64497.2739536375,3.18493456443539
300,3,3,"Wishart","lcv",126762.312937105,86752.2144615735,109526.400859203,60125.0977449084,5.44732709660117
100,1,1,"smlnorm","lscv",2819.50607890606,6503.86797144143,1571.33131381449,1741.25026794976,0.329590546774367
200,1,1,"smlnorm","lscv",2033.12150831871,5177.15758193813,1346.5920000275,1198.62030409225,0.73422416508353
300,1,1,"smlnorm","lscv",1410.62774512308,1108.51614247627,1146.77754248717,850.651567286189,1.24680495997503
100,2,1,"smlnorm","lscv",20264.9215113372,33487.0415968545,12948.7800518602,13145.931365449,0.354435091970178
200,2,1,"smlnorm","lscv",13652.3938725016,16960.2809314295,9492.0935853985,8321.99544487021,0.767324988023999
